source_path_percent_encoded	disposition_percent_encoded	destination	note
.agents%2Fskills%2F%71%6D%64-index-maintenance%2FSKILL.md	replaced	crates/harp/src/search.rs	bundled SQLite FTS5 search
.agents%2Fskills%2F%71%6D%64-index-maintenance%2Fagents%2Fopenai.yaml	replaced	crates/harp/src/search.rs	bundled SQLite FTS5 search
.mise.toml	replaced	mise.toml	standalone task runner
docs%2Fspecs%2Frecursive-self-improvement.md	replaced	docs/product-contract.md	standalone product contract
docs%2Fsuperpowers%2Fplans%2F2026-08-01-sicp-agent-harness-reader-course.md	omitted-%74arocco-specific	-	obsolete implementation plan or design
docs%2Fsuperpowers%2Fplans%2F2026-08-02-rsi-weng-reader-diagnostic-atlas.md	omitted-%74arocco-specific	-	obsolete implementation plan or design
docs%2Fsuperpowers%2Fplans%2F2026-08-07-sicp-under-rsi-migration.md	omitted-%74arocco-specific	-	obsolete implementation plan or design
docs%2Fsuperpowers%2Fspecs%2F2026-08-01-rsi-technical-atlas-content-design.md	omitted-%74arocco-specific	-	obsolete implementation plan or design
docs%2Fsuperpowers%2Fspecs%2F2026-08-01-sicp-agent-harness-reader-course-design.md	omitted-%74arocco-specific	-	obsolete implementation plan or design
docs%2Fsuperpowers%2Fspecs%2F2026-08-02-rsi-weng-reader-diagnostic-atlas-design.md	omitted-%74arocco-specific	-	obsolete implementation plan or design
docs%2Fsuperpowers%2Fspecs%2F2026-08-07-sicp-under-rsi-migration-design.md	omitted-%74arocco-specific	-	obsolete implementation plan or design
knowledge%2Frsi%2FAGENTS.md	replaced	AGENTS.md	standalone repository instructions
knowledge%2Frsi%2Fatlas%2Fapp%2F.gitignore	rewritten	atlas/.gitignore	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2FREADME.md	rewritten	atlas/README.md	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fdist%2Frsi-atlas.html	generated	atlas/dist/harp-atlas.html	offline Atlas export
knowledge%2Frsi%2Fatlas%2Fapp%2Feslint.config.mjs	rewritten	atlas/eslint.config.mjs	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Findex.html	rewritten	atlas/index.html	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fpackage.json	rewritten	atlas/package.json	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fpnpm-lock.yaml	rewritten	atlas/pnpm-lock.yaml	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fpnpm-workspace.yaml	rewritten	atlas/pnpm-workspace.yaml	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fscripts%2Fexport-static.mjs	rewritten	atlas/scripts/export-static.mjs	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FAtlasApp.tsx	rewritten	atlas/src/app/AtlasApp.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FChapterReader.tsx	rewritten	atlas/src/app/ChapterReader.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FDecisionBrief.tsx	rewritten	atlas/src/app/DecisionBrief.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FDiagnosticWorkbench.test.tsx	rewritten	atlas/src/app/DiagnosticWorkbench.test.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FDiagnosticWorkbench.tsx	rewritten	atlas/src/app/DiagnosticWorkbench.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FExportPanel.test.tsx	rewritten	atlas/src/app/ExportPanel.test.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FExportPanel.tsx	rewritten	atlas/src/app/ExportPanel.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FLessonRunner.test.tsx	rewritten	atlas/src/app/LessonRunner.test.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FLessonRunner.tsx	rewritten	atlas/src/app/LessonRunner.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FLineageLoom.tsx	rewritten	atlas/src/app/LineageLoom.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FReaderApp.test.tsx	rewritten	atlas/src/app/ReaderApp.test.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FReaderApp.tsx	rewritten	atlas/src/app/ReaderApp.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FSystemArticle.tsx	rewritten	atlas/src/app/SystemArticle.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FSystemLibrary.test.tsx	rewritten	atlas/src/app/SystemLibrary.test.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FSystemLibrary.tsx	rewritten	atlas/src/app/SystemLibrary.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FWengReader.test.tsx	rewritten	atlas/src/app/WengReader.test.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2FWengReader.tsx	rewritten	atlas/src/app/WengReader.tsx	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2Froutes.test.ts	rewritten	atlas/src/app/routes.test.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fapp%2Froutes.ts	rewritten	atlas/src/app/routes.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fcontent%2Fcanonical.test.ts	rewritten	atlas/src/content/canonical.test.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fcontent%2Fcanonical.ts	rewritten	atlas/src/content/canonical.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fcontent%2Fcontracts.ts	rewritten	atlas/src/content/contracts.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fcontent%2Fgenerated%2Fchapters.json	generated	atlas/src/content/generated/corpus.json	compiled v5 corpus
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fcontent%2Ftypes.ts	rewritten	atlas/src/content/types.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fdiagnostics%2Fcontracts.ts	rewritten	atlas/src/diagnostics/contracts.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fdiagnostics%2Fengine.test.ts	rewritten	atlas/src/diagnostics/engine.test.ts	standalone Atlas path and package identity
knowledge%2Frsi%2Fatlas%2Fapp%2Fsrc%2Fdiagnostics%2Fengine.ts	rewritten	atlas/src/diagnostics/engine.ts	standalone Atlas path and package identity
