source_id	artifact_type	status	local_path	source_url	resolved_version	bytes	sha256	license_status	note
DARWINX-SUPPLIED-REVIEW	user-supplied-provisional-analysis	captured	evidence/darwinx/artifacts/supplied_review.md	local-session:user-message	captured 2026-08-14 America/Los_Angeles	31223	sha256:d9ce2907d352c15601fef192f732642c6c97a2ce30af51ea49d96136637eb972	user supplied; no upstream license asserted	Preserved verbatim as provisional input; not evidence for paper claims.
DARWINX-PAPER	pdf	captured	evidence/darwinx/artifacts/darwinx-2608.07545v1.pdf	https://arxiv.org/pdf/2608.07545v1	arXiv:2608.07545v1	2028142	sha256:ac19144312b6f7cf2cceb4c0f155d6e96ab299f8502fd67d03ae2dc969889d9a	CC BY 4.0	Primary paper PDF; author-reported method and results, not independent reproduction.
DARWINX-PAPER	abstract-html	captured	evidence/darwinx/metadata/darwinx-2608.07545v1-arxiv.html	https://arxiv.org/abs/2608.07545v1	arXiv:2608.07545v1	43469	sha256:5ed0d852efe1b21e01d273163e4e1af061b38d012416f9a021c0c5466ee0cb29	CC BY 4.0	Revision-pinned arXiv abstract and license metadata.
DARWINX-PAPER	semantic-html	captured	evidence/darwinx/metadata/darwinx-2608.07545v1-paper.html	https://arxiv.org/html/2608.07545v1	arXiv:2608.07545v1	526107	sha256:9db9bdc8a50d5eb3e8085994405d695c10684fe9b89e191d7825db2d459e86a6	CC BY 4.0	Revision-pinned semantic HTML used for sections, tables, equations, and links.
DARWINX-PAPER	atom-metadata	captured	evidence/darwinx/metadata/darwinx-2608.07545v1-api.xml	https://export.arxiv.org/api/query?id_list=2608.07545	arXiv:2608.07545v1 observed 2026-08-14 America/Los_Angeles	3554	sha256:2c1694a0575129582ff4e698d77050873685461d985d4ba1f5f691e12b278192	arXiv metadata	Atom metadata response for title, authors, dates, abstract, and category.
DARWINX-PAPER	extracted-text	captured	evidence/darwinx/text/darwinx-2608.07545v1.txt	https://arxiv.org/pdf/2608.07545v1	pdftotext -raw from arXiv:2608.07545v1	97381	sha256:028006d01cab8adc0be6c143f78e91aa8a338c29ea50fe93d72f5f8767b9f867	derived from arXiv paper	Deterministic text sidecar; PDF remains the source of record.
HARNESSX-PAPER	pdf	captured	evidence/darwinx/artifacts/harnessx-2606.14249v1.pdf	https://arxiv.org/pdf/2606.14249v1	arXiv:2606.14249v1	2437423	sha256:af61597c55a292276b526950c5b1eba44d7d36bbc237f1dadc720c8c163c1ab6	CC BY 4.0	Primary comparison paper; author-reported method and results, not independent reproduction.
HARNESSX-PAPER	abstract-html	captured	evidence/darwinx/metadata/harnessx-2606.14249v1-arxiv.html	https://arxiv.org/abs/2606.14249v1	arXiv:2606.14249v1	43360	sha256:e870485f9ec6142d88cb72dadbe32f04765a19e820758a8114dc3ae1b4a80c36	CC BY 4.0	Revision-pinned HarnessX abstract and license metadata.
HARNESSX-PAPER	semantic-html	captured	evidence/darwinx/metadata/harnessx-2606.14249v1-paper.html	https://arxiv.org/html/2606.14249v1	arXiv:2606.14249v1	1201057	sha256:952a1f722cf4b78e6443b291f1ef3a6d7fff47109d07216cd913fd63d8b02c75	CC BY 4.0	Revision-pinned HarnessX semantic HTML used for comparison.
HARNESSX-PAPER	atom-metadata	captured	evidence/darwinx/metadata/harnessx-2606.14249v1-api.xml	https://export.arxiv.org/api/query?id_list=2606.14249	arXiv:2606.14249v1 observed 2026-08-14 America/Los_Angeles	3330	sha256:d9310f2f404c1ad29e5f905ca1fc864d368e1f74cafbc9cd77c334c0a86716a0	arXiv metadata	Atom metadata response for HarnessX title, authors, dates, abstract, and category.
HARNESSX-PAPER	extracted-text	captured	evidence/darwinx/text/harnessx-2606.14249v1.txt	https://arxiv.org/pdf/2606.14249v1	pdftotext -raw from arXiv:2606.14249v1	145846	sha256:20b95655ae805b757b7e7df8e2c1ccc7b9894113c499bab0967a161ec1138903	derived from arXiv paper	Deterministic comparison-paper text sidecar; PDF remains the source of record.
