path	kind	bytes	sha256
evidence/self_improving_agents_survey/PROVENANCE.md	PROVENANCE.md	1842	sha256:a45e3f4820098bdca5583ae5da53491fbfc9cc79fc70290a424aaf9a674bf093
evidence/self_improving_agents_survey/acquire.sh	acquire.sh	11468	sha256:a6ed4004015d837534c64b01d0f962c6715357ba35412213e9ad7c1def2fdd8c
evidence/self_improving_agents_survey/capture_manifest.tsv	capture_manifest.tsv	5170	sha256:be8e41be21bfeb938dd37c5c2cd898c4f6be004971a52495c704cb1c242a0070
evidence/self_improving_agents_survey/link_inventory.tsv	link_inventory.tsv	115120	sha256:1fb0ea64524f70d3044aa422a16c169c803102a234de19d4ec0d474dabf458e5
evidence/self_improving_agents_survey/one_hop/link_summary.json	one_hop	377	sha256:cad64f1bb9a8c28c64038e11c6e8494ab9e0f62d669d73f704efb8ea5876cafa
evidence/self_improving_agents_survey/repos/awesome_repo/LICENSE	repos	1076	sha256:2432179d19d0db400a8d29b3468aab8c025dcdd5dae7206b02876fe6ac2de426
evidence/self_improving_agents_survey/repos/awesome_repo/README.md	repos	71883	sha256:d5f8e4e74aa990bbf170fa35b9fafea75ecc434a208c43d6fbc43cff3bf18a10
evidence/self_improving_agents_survey/repos/awesome_repo/default-branch-commit.json	repos	5174	sha256:3eb230b98626fa95f34b7eb2f608f036694ada52cd7b36b3ee988a5b8a776df8
evidence/self_improving_agents_survey/repos/awesome_repo/repository.json	repos	7972	sha256:a5ca985ccec317b1973fba3bf972ac0d43befa1b91b610eb13f579156b500e37
evidence/self_improving_agents_survey/repos/site_repo/commit-d8af6607ced118351108670f823cd106649cb757.json	repos	7575	sha256:0768476959c5ba6cfe486fea63979ffa45ad2c573bdfb6637e7a28d2a3165b37
evidence/self_improving_agents_survey/repos/site_repo/index-d8af6607ced118351108670f823cd106649cb757.html	repos	238499	sha256:53e09a2207d0cae28123aea82bbd0e469e05d12a2f45774b0adea096b4509596
evidence/self_improving_agents_survey/repos/site_repo/index-d8af6607ced118351108670f823cd106649cb757.txt	repos	65166	sha256:5c3c6620b148f1daab413c12d3bebc51b8aabc15172229e62cd4264c33261419
evidence/self_improving_agents_survey/site/index.html	site	238499	sha256:53e09a2207d0cae28123aea82bbd0e469e05d12a2f45774b0adea096b4509596
evidence/self_improving_agents_survey/site/index.txt	site	65166	sha256:5c3c6620b148f1daab413c12d3bebc51b8aabc15172229e62cd4264c33261419
evidence/self_improving_agents_survey/site/static/images/fig-si-main-001.png	site	3191813	sha256:a8faffc1082f3f91e5486a5508422f179b2c6953c6903df29b675b75826e7c45
evidence/self_improving_agents_survey/survey/artifacts/pdf/self-improvements-modern-agentic-systems-2607.13104v1.pdf	survey	5331472	sha256:896642aa98dc5a283147aa4245ef96e92891bbc72f31f727c1d36c761cfd70b8
evidence/self_improving_agents_survey/survey/metadata/arxiv-2607.13104.atom	survey	3256	sha256:748631fd3d5902609d7aa554961bc97fe233cf0a7b90174f2dded8e4a781be01
evidence/self_improving_agents_survey/survey/metadata/arxiv-2607.13104v1.html	survey	42358	sha256:29d71aeb6214222495b389ad5d602260058653affff5203fa4173a508a426403
evidence/self_improving_agents_survey/survey/text/self-improvements-modern-agentic-systems-2607.13104v1.txt	survey	377237	sha256:07ad2c805e1985f54eed1b9eb67669e1c08749dbf9c38073d90c084fe244ae0e
