url	host	kind	anchor_text	observed_at	capture_status	claim_ceiling
https://arxiv.org/abs/2607.13104	arxiv.org	arxiv	Paper	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://selfimproving-agent.github.io/	selfimproving-agent.github.io	same-site	Abstract	2026-08-09T00:00:00Z	captured-if-same-site	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/selfimproving-agent/Awesome-Self-Improving-Agents	github.com	github	GitHub List	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2212.10560	arxiv.org	arxiv	Self-Instruct	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2212.08073	arxiv.org	arxiv	Constitutional AI	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2411.02337	arxiv.org	arxiv	WebRL	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2410.13232	arxiv.org	arxiv	Web Agents with World Models	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2303.17651	arxiv.org	arxiv	Self-Refine	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2406.07496	arxiv.org	arxiv	TextGrad	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2305.10250	arxiv.org	arxiv	MemoryBank	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2305.16291	arxiv.org	arxiv	Voyager	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://arxiv.org/abs/2505.22954	arxiv.org	arxiv	Darwin Godel Machine	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
https://github.com/yizhongw/self-instruct	github.com	github	Code	2026-08-09T00:00:00Z	inventory-only	Link identity and hub bibliography topology only unless a local artifact row explicitly inspects this source
