source_id	license_status	license_evidence_locator
ABSOLUTE-ZERO	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2505.03335
ACE	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2510.04618
ADAS	unknown	https://proceedings.iclr.cc/paper_files/paper/2025/file/36b7acf6f6010652b3f2a433774a66fe-Paper-Conference.pdf
AFLOW	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2410.10762
AHE	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2604.25850
AI-SCIENTIST	http://creativecommons.org/licenses/by/4.0/	https://www.nature.com/articles/s41586-026-10265-5
ALPHAEVOLVE	http://creativecommons.org/licenses/by-nc-nd/4.0/	https://export.arxiv.org/api/query?id_list=2506.13131
ANTHROPIC-RSI	unknown	https://www.anthropic.com/institute/recursive-self-improvement
ASP	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2607.03523
AUTODATA	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2606.25996
CONCRETE-SAFETY	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=1606.06565
CONTINUAL-HARNESS	http://creativecommons.org/licenses/by-nc-sa/4.0/	https://export.arxiv.org/api/query?id_list=2605.09998
COREBENCH	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2409.11363
DEMOEVOLVE	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2605.24539
DGM	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2505.22954
EPISTEMIC-DISCOVERY	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2605.11328
FUNSEARCH	http://creativecommons.org/licenses/by/4.0/	https://www.nature.com/articles/s41586-023-06924-6
GEPA	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2507.19457
GODEL-MACHINE	unknown	https://link.springer.com/chapter/10.1007/978-3-540-68677-4_7
GOOD-1965	unknown	https://vtechworks.lib.vt.edu/items/5085379d-b24c-424e-8861-e70a47b4b2fb/full
GPT5-SCIENCE	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2511.16072
HARNESS-DISENTANGLE	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2605.30621
HYPERAGENTS	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2603.19461
KARPATHY-AUTORESEARCH	unknown	https://github.com/karpathy/autoresearch
KERNELBENCH	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2502.10517
LEARNING-DISCOVER	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2601.16175
MCE	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2601.21557
META-HARNESS	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2603.28052
MLEBENCH	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2410.07095
NOT-SCIENTISTS	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2601.03315
PAPERBENCH	unknown	https://proceedings.mlr.press/v267/starace25a.html
PROMPTBREEDER	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2309.16797
QD-2016	unknown	https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2016.00040/full
REBENCH	unknown	https://proceedings.mlr.press/v267/wijk25a.html
SCIENCEAGENTBENCH	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2410.05080
SCIENTISTONE	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2605.26340
SELF-HARNESS	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2606.09498
SELF-REFINE	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2303.17651
SELF-REWARDING	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2401.10020
SHINKAEVOLVE	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2509.19349
SIA	http://creativecommons.org/licenses/by-sa/4.0/	https://export.arxiv.org/api/query?id_list=2605.27276
SPIN	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2401.01335
STOP	http://arxiv.org/licenses/nonexclusive-distrib/1.0/	https://export.arxiv.org/api/query?id_list=2310.02304
THETAEVOLVE	http://creativecommons.org/licenses/by/4.0/	https://export.arxiv.org/api/query?id_list=2511.23473
WENG-HARNESS	unknown	https://lilianweng.github.io/posts/2026-07-04-harness/
WENG-REWARD	unknown	https://lilianweng.github.io/posts/2024-11-28-reward-hacking/
YUDKOWSKY-2008	unknown	https://www.lesswrong.com/posts/JBadX7rwdcRFzGuju/recursive-self-improvement
