source_path	destination_path	classification	disposition	rationale	verification
knowledge/rsi/AGENTS.md	AGENTS.md	non_reader_or_generated	exclude	replaced by the standalone root contributor guide	frozen-tree comparison plus Harp corpus verification
knowledge/rsi/atlas/app/.gitignore	atlas/.gitignore	non_reader_or_generated	exclude	initial import rewrote this source path into the standalone Atlas or structured content root	frozen-tree comparison plus Harp corpus verification
knowledge/rsi/atlas/app/README.md	atlas/README.md	non_reader_or_generated	exclude	initial import rewrote this source path into the standalone Atlas or structured content root	frozen-tree comparison plus Harp corpus verification
knowledge/rsi/atlas/app/dist/rsi-atlas.html	atlas/dist/harp-atlas.html	non_reader_or_generated	exclude	initial import rewrote this source path into the standalone Atlas or structured content root	frozen-tree comparison plus Harp corpus verification
knowledge/rsi/atlas/app/eslint.config.mjs	atlas/eslint.config.mjs	non_reader_or_generated	exclude	initial import rewrote this source path into the standalone Atlas or structured content root	frozen-tree comparison plus Harp corpus verification
knowledge/rsi/atlas/app/index.html	atlas/index.html	non_reader_or_generated	exclude	initial import rewrote this source path into the standalone Atlas or structured content root	frozen-tree comparison plus Harp corpus verification
knowledge/rsi/atlas/app/package.json	atlas/package.json	non_reader_or_generated	exclude	superseded by the standalone root Atlas and derived corpus	frozen-tree comparison plus Harp corpus verification
knowledge/rsi/atlas/app/pnpm-lock.yaml	atlas/pnpm-lock.yaml	non_reader_or_generated	exclude	initial import rewrote this source path into the standalone Atlas or structured content root	frozen-tree comparison plus Harp corpus verification
knowledge/rsi/atlas/app/pnpm-workspace.yaml	atlas/pnpm-workspace.yaml	non_reader_or_generated	exclude	initial import rewrote this source path into the standalone Atlas or structured content root	frozen-tree comparison plus Harp corpus verification
knowledge/rsi/atlas/app/scripts/export-static.mjs	atlas/scripts/export-static.mjs	non_reader_or_generated	exclude	initial import rewrote this source path into the standalone Atlas or structured content root	frozen-tree comparison plus Harp corpus verification
